Team,FDCOUK,City,Stadium,Capacity,Latitude,Longitude,Country
Arsenal ,Arsenal,London ,Emirates Stadium ,60361,51.555,-0.108611,England
Aston Villa ,Aston Villa,Birmingham ,Villa Park ,42785,52.509167,-1.884722,England
Blackburn Rovers ,Blackburn,Blackburn ,Ewood Park ,31154,53.728611,-2.489167,England
Bolton Wanderers ,Bolton,Bolton ,Reebok Stadium ,28100,53.580556,-2.535556,England
Chelsea ,Chelsea,London ,Stamford Bridge ,42449,51.481667,-0.191111,England
Everton ,Everton,Liverpool ,Goodison Park ,40157,53.438889,-2.966389,England
Fulham ,Fulham,London ,Craven Cottage ,25700,51.475,-0.221667,England
Liverpool ,Liverpool,Liverpool ,Anfield ,45276,53.430819,-2.960828,England
Manchester City ,Man City,Manchester ,Etihad Stadium,47405,53.482989,-2.200292,England
Manchester United ,Man United,Stretford ,Old Trafford ,75811,53.463056,-2.291389,England
Newcastle United ,Newcastle,Newcastle upon Tyne ,Sports Direct Arena,52409,54.975556,-1.621667,England
Norwich City ,Norwich,Norwich ,Carrow Road ,27010,52.622128,1.308653,England
Queens Park Rangers ,QPR,London ,Loftus Road ,18439,51.509167,-0.232222,England
Stoke City ,Stoke,Stoke-on-Trent ,Britannia Stadium ,27740,52.988333,-2.175556,England
Sunderland ,Sunderland,Sunderland ,Stadium of Light ,48707,54.9144,-1.3882,England
Swansea City ,Swansea,Swansea ,Liberty Stadium ,20520,51.6422,-3.9351,England
Tottenham Hotspur ,Tottenham,London ,White Hart Lane ,36230,51.603333,-0.065833,England
West Bromwich Albion ,West Brom,West Bromwich ,The Hawthorns ,27877,52.509167,-1.963889,England
Wigan Athletic ,Wigan,Wigan ,DW Stadium ,25133,53.547778,-2.653889,England
Wolverhampton Wanderers ,Wolves,Wolverhampton ,Molineux Stadium ,27828,52.590278,-2.130278,England
Barnsley ,Barnsley,Barnsley ,Oakwell ,23009,53.552222,-1.4675,England
Birmingham City ,Birmingham,Birmingham ,St Andrew's Stadium ,30079,52.475703,-1.868189,England
Blackpool ,Blackpool,Blackpool ,Bloomfield Road ,16220,53.804722,-3.048056,England
Brighton & Hove Albion ,Brighton,Brighton ,American Express Community Stadium ,22374,50.861822,-0.083278,England
Bristol City ,Bristol City,Bristol ,Ashton Gate ,21497,51.44,-2.620278,England
Burnley ,Burnley,Burnley ,Turf Moor ,22546,53.789167,-2.230278,England
Cardiff City ,Cardiff,Cardiff ,Cardiff City Stadium ,26828,51.472778,-3.203056,England
Coventry City ,Coventry,Coventry ,Ricoh Arena ,32609,52.448056,-1.495556,England
Crystal Palace ,Crystal Palace,London ,Selhurst Park ,26309,51.398333,-0.085556,England
Derby County ,Derby,Derby ,Pride Park Stadium ,33597,52.915,-1.447222,England
Doncaster Rovers ,Doncaster,Doncaster ,Keepmoat Stadium ,15231,53.509722,-1.113889,England
Hull City ,Hull,Kingston upon Hull ,KC Stadium ,25404,53.746111,-0.367778,England
Ipswich Town ,Ipswich,Ipswich ,Portman Road ,30311,52.055061,1.144831,England
Leeds United ,Leeds,Leeds ,Elland Road ,39460,53.777778,-1.572222,England
Leicester City ,Leicester,Leicester ,King Power Stadium ,32500,52.620278,-1.142222,England
Middlesbrough ,Middlesbrough,Middlesbrough ,Riverside Stadium ,34988,54.578333,-1.216944,England
Millwall ,Millwall,London ,The Den ,20146,51.485953,-0.05095,England
Nottingham Forest ,Nott'm Forest,Nottingham ,City Ground ,30576,52.94,-1.132778,England
Peterborough United ,Peterboro,Peterborough ,London Road Stadium ,15460,52.564697,-0.240406,England
Portsmouth ,Portsmouth,Portsmouth ,Fratton Park ,20224,50.796389,-1.063889,England
Reading ,Reading,Reading ,Madejski Stadium ,24224,51.422222,-0.982778,England
Southampton ,Southampton,Southampton ,St Mary's Stadium ,32689,50.905833,-1.391111,England
Watford ,Watford,Watford ,Vicarage Road ,23500,51.649836,-0.401486,England
West Ham United ,West Ham,London ,Boleyn Ground ,35303,51.531944,0.039444,England
Livingston and Gretna ,Livingston,Livingston,Almondvale Stadium ,10122,55.886167,-3.522872,Scotland
Inverness C.T. ,Inverness C,Iverness,Caledonian Stadium ,7918,57.494722,-4.2175,Scotland
Celtic ,Celtic,Glasgow,Celtic Park ,60832,55.849711,-4.205589,Scotland
Dundee ,Dundee,Dundee,Dens Park ,12085,56.475264,-2.973194,Scotland
Dunfermline Athletic ,Dunfermline,Dunfermline,East End Park ,11380,56.075308,-3.441906,Scotland
Hibernian ,Hibernian,Edinburgh,Easter Road ,20421,55.961667,-3.165556,Scotland
Falkirk ,Falkirk,Falkirk,Falkirk Stadium ,9200,56.005136,-3.754269,Scotland
Motherwell and Gretna ,Motherwell,Motherwell,Fir Park ,13742,55.779947,-3.980078,Scotland
Partick Thistle ,Partick,Glasgow,Firhill Stadium ,10887,55.881556,-4.269639,Scotland
Rangers ,Rangers,Glasgow,Ibrox Stadium ,51082,55.853206,-4.309258,Scotland
St. Johnstone ,St Johnstone,Perth,McDiarmid Park ,10673,56.409686,-3.476928,Scotland
Hamilton Academical ,Hamilton,Hamilton,New Douglas Park ,6078,55.782156,-4.058503,Scotland
Aberdeen and Inverness C.T. ,Aberdeen,Aberdeen,Pittodrie Stadium ,22199,57.159167,-2.088889,Scotland
Kilmarnock ,Kilmarnock,Kilmarnock,Rugby Park ,18128,55.604225,-4.508122,Scotland
St. Mirren ,St Mirren,Paisley,St. Mirren Park ,8016,55.850556,-4.443889,Scotland
Dundee United ,Dundee United,Dundee,Tannadice Park ,14209,56.474703,-2.968961,Scotland
Heart of Midlothian ,Hearts,Edinburgh,Tynecastle Stadium ,17420,55.939167,-3.232222,Scotland
Ross County,Ross County,Dingvall,Victoria Park ,6310,57.595947,-4.418914,Scotland
FC Augsburg ,Augsburg,Augsburg ,SGL arena ,30660,48.3225,10.882222,Germany
Bayer Leverkusen ,Leverkusen,Leverkusen ,BayArena ,30210,51.038256,7.002206,Germany
Bayern Munich ,Bayern Munich,Munich ,Allianz Arena ,71000,48.218775,11.624753,Germany
Borussia Dortmund ,Dortmund,Dortmund ,Signal Iduna Park ,80645,51.492569,7.451842,Germany
Borussia Mönchengladbach ,M'gladbach,Mönchengladbach ,Borussia-Park ,54010,51.174583,6.385464,Germany
Eintracht Braunschweig ,Braunschweig,Braunschweig ,Eintracht-Stadion ,23325,52.29,10.521667,Germany
Eintracht Frankfurt ,Ein Frankfurt,Frankfurt ,Commerzbank-Arena ,51500,50.068572,8.645458,Germany
SC Freiburg ,Freiburg,Freiburg ,MAGE SOLAR Stadion ,24000,47.988889,7.893056,Germany
Hamburger SV ,Hamburg,Hamburg ,Imtech Arena ,57000,53.587158,9.898617,Germany
Hannover 96 ,Hannover,Hanover ,HDI-Arena ,49000,52.360067,9.731197,Germany
Hertha BSC ,Hertha,Berlin ,Olympiastadion ,74244,52.514722,13.239444,Germany
TSG 1899 Hoffenheim ,Hoffenheim,Sinsheim ,Rhein-Neckar Arena ,30150,49.239008,8.888281,Germany
1. FSV Mainz 05 ,Mainz,Mainz ,Coface Arena ,34000,49.984167,8.224167,Germany
1. FC Nürnberg ,Nurnberg,Nuremberg ,Grundig-Stadion ,50000,49.426111,11.125833,Germany
Schalke 04 ,Schalke 04,Gelsenkirchen ,Veltins-Arena ,61673,51.554503,7.067589,Germany
VfB Stuttgart ,Stuttgart,Stuttgart ,Mercedes-Benz Arena ,60441,48.792269,9.232031,Germany
Werder Bremen ,Werder Bremen,Bremen ,Weserstadion ,42100,53.066394,8.837628,Germany
VfL Wolfsburg ,Wolfsburg,Wolfsburg ,Volkswagen Arena ,30000,52.431944,10.803889,Germany
Fortuna Düsseldorf ,Fortuna Dusseldorf,Düsseldorf ,Esprit Arena ,54600,51.261667,6.733056,Germany
SpVgg Greuther Fürth ,Greuther Furth,Fürth ,Trolli Arena ,18000,49.486944,10.999167,Germany
1. FC Kaiserslautern ,Kaiserslautern,Kaiserslautern ,Fritz-Walter-Stadion ,49780,49.434722,7.776667,Germany
1. FC Köln ,FC Koln,Cologne ,RheinEnergieStadion ,50000,50.933497,6.874997,Germany
FC St. Pauli ,St Pauli,Hamburg ,Millerntor-Stadion ,24487,53.554444,9.967778,Germany
Almería ,Almeria,Almería ,Estadio del Mediterráneo ,22000,36.84,-2.435278,Spain
Athletic Bilbao ,Ath Bilbao,Bilbao ,San Mamés ,53332,43.264284,-2.950366,Spain
Atlético Madrid ,Ath Madrid,Madrid ,Vicente Calderón ,54851,40.401719,-3.720606,Spain
Barcelona ,Barcelona,Barcelona ,Camp Nou ,99354,41.38087,2.122802,Spain
Betis ,Betis,Seville ,Benito Villamarín ,52500,37.356389,-5.981389,Spain
Celta de Vigo ,Celta,Vigo ,Balaídos ,31800,42.211842,-8.739711,Spain
Elche ,Elche,Elche ,Martínez Valero ,36017,38.266944,-0.663333,Spain
Espanyol ,Espanol,Cornellà de Llobregat ,Cornellà-El Prat ,40500,41.347861,2.075667,Spain
Getafe ,Getafe,Getafe ,Coliseum Alfonso Pérez ,17700,40.325556,-3.714722,Spain
Granada ,Granada,Granada ,Nuevo Los Cármenes ,22524,37.152967,-3.595736,Spain
Levante ,Levante,Valencia ,Ciutat de València ,25534,39.494722,-0.364167,Spain
Málaga ,Malaga,Málaga ,La Rosaleda ,30044,36.734092,-4.426422,Spain
Osasuna ,Osasuna,Pamplona ,El Sadar ,19553,42.796667,-1.636944,Spain
Rayo Vallecano ,Vallecano,Madrid ,Campo de Vallecas ,15489,40.391944,-3.658961,Spain
Real Madrid ,Real Madrid,Madrid ,Santiago Bernabéu ,85454,40.45306,-3.68835,Spain
Real Sociedad ,Sociedad,San Sebastián ,Anoeta ,32076,43.301378,-1.973617,Spain
Sevilla ,Sevilla,Seville ,Ramón Sánchez Pizjuán ,45500,37.384,-5.9705,Spain
Valencia ,Valencia,Valencia ,Mestalla ,55000,39.474656,-0.358361,Spain
Valladolid ,Valladolid,Valladolid ,Nuevo José Zorrilla ,26512,41.644444,-4.761111,Spain
Villarreal ,Villarreal,Villarreal ,El Madrigal ,24890,39.944167,-0.103611,Spain
Deportivo La Coruña ,La Coruna,A Coruña ,Riazor ,34600,43.368714,-8.417516,Spain
Mallorca ,Mallorca,Palma ,Iberostar Stadium ,23142,39.59,2.63,Spain
Zaragoza ,Zaragoza,Zaragoza ,La Romareda ,34596,41.636592,-0.901822,Spain
Ajaccio ,Ajaccio,Ajaccio ,Stade François Coty ,10660,41.931081,8.776725,France
Bastia ,Bastia,Bastia ,Stade Armand Cesari ,16480,42.6514,9.442619,France
Bordeaux ,Bordeaux,Bordeaux ,Stade Chaban-Delmas ,34462,44.829167,-0.597778,France
Évian ,Evian Thonon Gaillard,Annecy ,Parc des Sports ,15660,45.916497,6.118054,France
Guingamp ,Guingamp,Guingamp ,Stade du Roudourou ,18126,48.566285,-3.164599,France
Lille ,Lille,Villeneuve-d'Ascq ,Stade Pierre-Mauroy ,50186,50.611883,3.130428,France
Lorient ,Lorient,Lorient ,Stade du Moustoir ,18890,47.748747,-3.369367,France
Lyon ,Lyon,Lyon ,Stade de Gerland ,41842,45.723889,4.832222,France
Marseille ,Marseille,Marseille ,Stade Velodrome,48000,43.269722,5.395833,France
AS Monaco ,Monaco,Monaco ,Stade Louis II ,18500,43.727606,7.415614,France
Montpellier ,Montpellier,Montpellier ,Stade de la Mosson ,32939,43.622222,3.811944,France
Nantes ,Nantes,Nantes ,Stade de la Beaujoire ,38285,47.255631,-1.525375,France
Nice ,Nice,Nice ,Allianz Riviera ,35624,43.723328,7.258756,France
Paris Saint-Germain ,Paris SG,Paris ,Parc des Princes ,48712,48.841389,2.253056,France
Reims ,Reims,Reims ,Stade Auguste-Delaune II ,21684,49.246667,4.025,France
Rennes ,Rennes,Rennes ,Stade de la Route de Lorient ,31127,48.107458,-1.712839,France
Saint-Étienne ,St Etienne,Saint-Étienne ,Stade Geoffroy-Guichard,26747,45.460833,4.390278,France
Sochaux ,Sochaux,Montbéliard ,Stade Auguste Bonal ,20005,47.512417,6.8112,France
Toulouse ,Toulouse,Toulouse ,Stadium Municipal,35470,43.583056,1.434167,France
Valenciennes ,Valenciennes,Valenciennes ,Stade du Hainaut ,25172,50.348131,3.533027,France
Nancy,Nancy,Tomblaine ,Stade Marcel Picot ,20085,48.6955,6.210687,France
Dijon,Dijon,Dijon,Stade Gaston Gérard ,15998,47.324383,5.068342,France
Troyes ,Troyes,Troyes,Stade de l'Aube ,21877,48.307561,4.098458,France
Auxerre ,Auxerre,Auxerre ,Stade de l'Abbé-Deschamps ,24493,47.786753,3.588664,France
Brest,Brest,Brest,Stade Francis-Le Blé ,16000,48.402932,-4.461694,France
Caen,Caen,Caen ,Stade Michel d'Ornano ,21500,49.179461,-0.396767,France
Sporting de Gijón,Sp Gijon,Gijón,El Molinón,30000,43.536111,-5.637222,Spain
Racing de Santander,Santander,Santander,Campos de Sport de El Sardinero,22222,43.476389,-3.793333,Spain
Oldham Athletic,Oldham,Oldham,Boundary Park,10638,53.555278,-2.128611,England
Sheffield United,Sheffield United,Sheffield,Bramall Lane,32702,53.370278,-1.470833,England
Wimbledon,Wimbledon,,Selhurst Park,26255,51.398333,-0.085556,England
Sheffield Wednesday,Sheffield Weds,Sheffield,Hillsborough,39732,53.411389,-1.500556,England
Swindon Town,Swindon,Swindon,County Ground,15728,51.564444,-1.770556,England
Charlton Athletic,Charlton,Greenwich,The Valley ,27111,51.486389,0.036389,England
Bradford City,Bradford,Bradford,Valley Parade,25136,53.804222,-1.759022,England
Grimsby Town,Grimsby,Cleethorpes,Blundell park,9062,53.570225,-0.046497,England
Luton Town,Luton,Luton,Kenilworth Road,10356,51.884167,-0.431667,England
Notts County F.C.,Notts County,Nottingham ,Meadow Lane,20211,52.9425,-1.137222,England
Oxford United,Oxford,Oxford,Kassam Stadium,12500,51.716419,-1.208067,England
Southend United,Southend,Prittlewell,Roots Hall,12392,51.549016,0.7015583,England
Tranmere Rovers,Tranmere,Birkenhead,Prenton Park,16567,53.3736111,-3.0325,England
Huddersfield Town A.F.C.,Huddersfield,Huddersfield,The John Smith's Stadium,24500,53.65416,-1.76833,England
Port Vale F.C.,Port Vale,Burslem,Vale Park,19052,53.049722,-2.1925,England
Bury F.C.,Bury,Bury,Gigg Lane,11840,53.5805055,-2.294822,England
Crewe Alexandra,Crewe,Crewe,Alexandra Stadium,10153,53.0874194,-2.4357472,England
Stockport County,Stockport,Stockport,Edgeley Park,10841,53.39972,-2.16638,England
Walsall F.C.,Walsall,Walsall,Banks's Stadium,11300,52.565433,-1.9907055,England
Gillingham F.C.,Gillingham,Gillingham,Priestfield,11582,51.38425,0.5607527,England
Preston North End ,Preston,Preston,Deepdale,23404,53.77222,-2.68805,England
Rotherham United,Rotherham,Rotherham,New York Stadium,12021,53.4279,-1.362,England
Plymouth Argyle,Plymouth,Plymouth,Home Park,17150,50.38805,-4.150833,England
Colchester United,Colchester,Colchester,Colchester Community Stadium,10105,51.923394,0.897703,England
Scunthorpe United,Scunthorpe,Scunthorpe,Glanford Park,9088,53.586725,-0.695266,England
A.F.C. Bournemouth,Bournemouth,Bournemouth,Goldsands Stadium,12000,50.735277,-1.83833,England
Yeovil Town,Yeovil,Yeovil,Huish Park,9565,50.95027,-2.67488,England
Brentford,Brentford,London ,Griffin Park,12763,51.488183,-0.302639,England
